type,old_url,old_path,new_path,action,lastmod,implementation_status,notes
"blog-post","https://www.mirasisone.com/post/プロジェクションマッピング事業で高い評価を受けてきたmirasisone-ミラシスワン-が、初のドバイ進出！日本食レストランで日本とドバイの文化を融合したイマーシブ空間映像を制作。","/post/%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E4%BA%8B%E6%A5%AD%E3%81%A7%E9%AB%98%E3%81%84%E8%A9%95%E4%BE%A1%E3%82%92%E5%8F%97%E3%81%91%E3%81%A6%E3%81%8D%E3%81%9Fmirasisone-%E3%83%9F%E3%83%A9%E3%82%B7%E3%82%B9%E3%83%AF%E3%83%B3-%E3%81%8C%E3%80%81%E5%88%9D%E3%81%AE%E3%83%89%E3%83%90%E3%82%A4%E9%80%B2%E5%87%BA%EF%BC%81%E6%97%A5%E6%9C%AC%E9%A3%9F%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%81%A7%E6%97%A5%E6%9C%AC%E3%81%A8%E3%83%89%E3%83%90%E3%82%A4%E3%81%AE%E6%96%87%E5%8C%96%E3%82%92%E8%9E%8D%E5%90%88%E3%81%97%E3%81%9F%E3%82%A4%E3%83%9E%E3%83%BC%E3%82%B7%E3%83%96%E7%A9%BA%E9%96%93%E6%98%A0%E5%83%8F%E3%82%92%E5%88%B6%E4%BD%9C%E3%80%82","/post/%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E4%BA%8B%E6%A5%AD%E3%81%A7%E9%AB%98%E3%81%84%E8%A9%95%E4%BE%A1%E3%82%92%E5%8F%97%E3%81%91%E3%81%A6%E3%81%8D%E3%81%9Fmirasisone-%E3%83%9F%E3%83%A9%E3%82%B7%E3%82%B9%E3%83%AF%E3%83%B3-%E3%81%8C%E3%80%81%E5%88%9D%E3%81%AE%E3%83%89%E3%83%90%E3%82%A4%E9%80%B2%E5%87%BA%EF%BC%81%E6%97%A5%E6%9C%AC%E9%A3%9F%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%81%A7%E6%97%A5%E6%9C%AC%E3%81%A8%E3%83%89%E3%83%90%E3%82%A4%E3%81%AE%E6%96%87%E5%8C%96%E3%82%92%E8%9E%8D%E5%90%88%E3%81%97%E3%81%9F%E3%82%A4%E3%83%9E%E3%83%BC%E3%82%B7%E3%83%96%E7%A9%BA%E9%96%93%E6%98%A0%E5%83%8F%E3%82%92%E5%88%B6%E4%BD%9C%E3%80%82","keep-200","2025-02-26","pending",""
"blog-post","https://www.mirasisone.com/post/3dcg-digital-signage","/post/3dcg-digital-signage","/post/3dcg-digital-signage","keep-200","2026-04-27","pending",""
"blog-post","https://www.mirasisone.com/post/outdoor-pm-cost-and-ordering-guide-2026","/post/outdoor-pm-cost-and-ordering-guide-2026","/post/outdoor-pm-cost-and-ordering-guide-2026","keep-200","2026-07-14","pending",""
"blog-post","https://www.mirasisone.com/post/【空間演出事例】焼肉-牛牛-西麻布総本店-プロジェクションマッピングで入口から-魅せる-体験へ","/post/%E3%80%90%E7%A9%BA%E9%96%93%E6%BC%94%E5%87%BA%E4%BA%8B%E4%BE%8B%E3%80%91%E7%84%BC%E8%82%89-%E7%89%9B%E7%89%9B-%E8%A5%BF%E9%BA%BB%E5%B8%83%E7%B7%8F%E6%9C%AC%E5%BA%97-%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%81%A7%E5%85%A5%E5%8F%A3%E3%81%8B%E3%82%89-%E9%AD%85%E3%81%9B%E3%82%8B-%E4%BD%93%E9%A8%93%E3%81%B8","/post/%E3%80%90%E7%A9%BA%E9%96%93%E6%BC%94%E5%87%BA%E4%BA%8B%E4%BE%8B%E3%80%91%E7%84%BC%E8%82%89-%E7%89%9B%E7%89%9B-%E8%A5%BF%E9%BA%BB%E5%B8%83%E7%B7%8F%E6%9C%AC%E5%BA%97-%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9E%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%81%A7%E5%85%A5%E5%8F%A3%E3%81%8B%E3%82%89-%E9%AD%85%E3%81%9B%E3%82%8B-%E4%BD%93%E9%A8%93%E3%81%B8","keep-200","2025-05-29","pending",""
"blog-post","https://www.mirasisone.com/post/projection-mapping-what-is","/post/projection-mapping-what-is","/post/projection-mapping-what-is","keep-200","2026-06-23","pending",""
"blog-post","https://www.mirasisone.com/post/projection-mapping-customer-attraction","/post/projection-mapping-customer-attraction","/post/projection-mapping-customer-attraction","keep-200","2026-06-29","pending",""
"blog-post","https://www.mirasisone.com/post/hotel-projection-mapping","/post/hotel-projection-mapping","/post/hotel-projection-mapping","keep-200","2026-04-20","pending",""
"blog-post","https://www.mirasisone.com/post/projection-mapping-company-guide","/post/projection-mapping-company-guide","/post/projection-mapping-company-guide","keep-200","2026-04-13","pending",""
"blog-post","https://www.mirasisone.com/post/wedding-venue-projection-mapping","/post/wedding-venue-projection-mapping","/post/wedding-venue-projection-mapping","keep-200","2026-07-29","pending",""
"blog-post","https://www.mirasisone.com/post/映える店舗はこう作る-今、飲食店で-映像演出-がバズる理由","/post/%E6%98%A0%E3%81%88%E3%82%8B%E5%BA%97%E8%88%97%E3%81%AF%E3%81%93%E3%81%86%E4%BD%9C%E3%82%8B-%E4%BB%8A%E3%80%81%E9%A3%B2%E9%A3%9F%E5%BA%97%E3%81%A7-%E6%98%A0%E5%83%8F%E6%BC%94%E5%87%BA-%E3%81%8C%E3%83%90%E3%82%BA%E3%82%8B%E7%90%86%E7%94%B1","/post/%E6%98%A0%E3%81%88%E3%82%8B%E5%BA%97%E8%88%97%E3%81%AF%E3%81%93%E3%81%86%E4%BD%9C%E3%82%8B-%E4%BB%8A%E3%80%81%E9%A3%B2%E9%A3%9F%E5%BA%97%E3%81%A7-%E6%98%A0%E5%83%8F%E6%BC%94%E5%87%BA-%E3%81%8C%E3%83%90%E3%82%BA%E3%82%8B%E7%90%86%E7%94%B1","keep-200","2025-12-08","pending",""
